,Network,Name,Slat,Slon,Selv,Quake#,Mag,Qlat,Qlon,Qdep,OrgT,rhyp,Parr,Sarr
165,HA,KALE,38.3911,22.1398,760.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,113.711827305,2020-08-09T06:11:34.649496Z,2020-08-09T06:11:41.869295Z
166,HA,KALE,38.3911,22.1398,760.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,139.63481679,2020-09-18T22:17:36.364257Z,2020-09-18T22:17:45.229959Z
167,HL,KARP,35.5471,27.16106,524.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,568.914012336,2020-03-09T22:21:01.403811Z,2020-03-09T22:21:37.525336Z
168,HL,KARP,35.5471,27.16106,524.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,556.225818996,2020-04-06T02:32:52.289813Z,2020-04-06T02:33:27.605738Z
169,HL,KARP,35.5471,27.16106,524.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,580.726467102,2020-08-08T08:15:40.678804Z,2020-08-08T08:16:17.550326Z
170,HL,KARP,35.5471,27.16106,524.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,590.750155039,2020-08-09T06:12:50.369866Z,2020-08-09T06:13:27.877812Z
171,HL,KARP,35.5471,27.16106,524.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,566.107928236,2020-09-18T22:18:44.058401Z,2020-09-18T22:19:20.001762Z
172,HA,KARY,38.0321,24.437,220.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,271.898634374,2020-03-09T22:20:14.258513Z,2020-03-09T22:20:31.521919Z
173,HA,KARY,38.0321,24.437,220.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,256.52426253,2020-04-06T02:32:04.718137Z,2020-04-06T02:32:21.005392Z
174,HA,KARY,38.0321,24.437,220.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,272.507591463,2020-08-08T08:14:51.755173Z,2020-08-08T08:15:09.057243Z
175,HA,KARY,38.0321,24.437,220.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,291.866993492,2020-08-09T06:12:02.928094Z,2020-08-09T06:12:21.459332Z
176,HA,KARY,38.0321,24.437,220.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,290.992770336,2020-09-18T22:18:00.389329Z,2020-09-18T22:18:18.865060Z
177,HT,KAVA,40.99666,24.513666,157.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,456.338298836,2020-03-09T22:20:43.534651Z,2020-03-09T22:21:12.508511Z
178,HT,KAVA,40.99666,24.513666,157.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,445.314986828,2020-04-06T02:32:34.684919Z,2020-04-06T02:33:02.958886Z
179,HT,KAVA,40.99666,24.513666,157.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,440.554406012,2020-08-08T08:15:18.429271Z,2020-08-08T08:15:46.400979Z
180,HT,KAVA,40.99666,24.513666,157.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,463.90146991,2020-08-09T06:12:30.235154Z,2020-08-09T06:12:59.689216Z
181,HT,KAVA,40.99666,24.513666,157.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,493.362722088,2020-09-18T22:18:32.511543Z,2020-09-18T22:19:03.836160Z
182,HL,KEK,39.7127,19.79623,227.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,263.927737776,2020-03-09T22:20:12.993292Z,2020-03-09T22:20:29.750608Z
183,HL,KEK,39.7127,19.79623,227.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,269.534076062,2020-04-06T02:32:06.783187Z,2020-04-06T02:32:23.896461Z
184,HL,KEK,39.7127,19.79623,227.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,243.590875241,2020-08-08T08:14:47.165218Z,2020-08-08T08:15:02.631306Z
185,HL,KEK,39.7127,19.79623,227.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,248.19715966,2020-08-09T06:11:55.996375Z,2020-08-09T06:12:11.754924Z
186,HL,KEK,39.7127,19.79623,227.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,291.504961348,2020-09-18T22:18:00.470629Z,2020-09-18T22:18:18.978880Z
187,HL,KLV,38.0435,22.1504,758.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,78.7799524375,2020-03-09T22:19:43.604754Z,2020-03-09T22:19:48.606656Z
188,HL,KLV,38.0435,22.1504,758.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,64.4898595242,2020-04-06T02:31:34.236486Z,2020-04-06T02:31:38.331080Z
189,HL,KLV,38.0435,22.1504,758.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,73.2843286083,2020-08-08T08:14:20.132433Z,2020-08-08T08:14:24.785406Z
190,HL,KLV,38.0435,22.1504,758.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,95.0938274971,2020-08-09T06:11:31.694258Z,2020-08-09T06:11:37.731962Z
191,HL,KLV,38.0435,22.1504,758.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,110.602034009,2020-09-18T22:17:31.755878Z,2020-09-18T22:17:38.778230Z
192,HC,KNDR,35.2348,23.6248,13.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,338.216581855,2020-03-09T22:20:24.785172Z,2020-03-09T22:20:46.259240Z
193,HC,KNDR,35.2348,23.6248,13.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,331.738285697,2020-04-06T02:32:16.656871Z,2020-04-06T02:32:37.719619Z
